Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_31_27,VGND,li1,17.9400,89.7600,0.000000
FILLER_31_15,VGND,li1,12.4200,89.7600,0.000000
FILLER_31_3,VGND,li1,6.9000,89.7600,0.000000
FILLER_30_333,VGND,li1,156.4000,84.3200,0.000000
FILLER_30_321,VGND,li1,153.1800,84.3200,0.000000
FILLER_30_309,VGND,li1,147.6600,84.3200,0.000000
FILLER_30_307,VGND,li1,144.2100,84.3200,0.000000
FILLER_30_301,VGND,li1,142.6000,84.3200,0.000000
FILLER_30_289,VGND,li1,138.4600,84.3200,0.000000
FILLER_30_277,VGND,li1,132.9400,84.3200,0.000000
FILLER_30_265,VGND,li1,127.4200,84.3200,0.000000
FILLER_30_253,VGND,li1,121.9000,84.3200,0.000000
FILLER_30_251,VGND,li1,118.4500,84.3200,0.000000
FILLER_30_245,VGND,li1,116.8400,84.3200,0.000000
FILLER_30_233,VGND,li1,112.7000,84.3200,0.000000
FILLER_30_221,VGND,li1,107.1800,84.3200,0.000000
FILLER_30_209,VGND,li1,101.6600,84.3200,0.000000
FILLER_30_197,VGND,li1,96.1400,84.3200,0.000000
FILLER_30_195,VGND,li1,92.6900,84.3200,0.000000
FILLER_30_189,VGND,li1,91.0800,84.3200,0.000000
FILLER_30_177,VGND,li1,86.9400,84.3200,0.000000
FILLER_30_165,VGND,li1,81.4200,84.3200,0.000000
FILLER_30_153,VGND,li1,75.9000,84.3200,0.000000
FILLER_30_141,VGND,li1,70.3800,84.3200,0.000000
FILLER_30_139,VGND,li1,66.9300,84.3200,0.000000
FILLER_30_133,VGND,li1,65.3200,84.3200,0.000000
FILLER_30_121,VGND,li1,61.1800,84.3200,0.000000
FILLER_30_109,VGND,li1,55.6600,84.3200,0.000000
FILLER_30_97,VGND,li1,50.1400,84.3200,0.000000
FILLER_30_85,VGND,li1,44.6200,84.3200,0.000000
FILLER_30_83,VGND,li1,41.1700,84.3200,0.000000
FILLER_30_77,VGND,li1,39.5600,84.3200,0.000000
FILLER_30_65,VGND,li1,35.4200,84.3200,0.000000
FILLER_30_53,VGND,li1,29.9000,84.3200,0.000000
FILLER_30_41,VGND,li1,24.3800,84.3200,0.000000
FILLER_30_29,VGND,li1,18.8600,84.3200,0.000000
FILLER_30_27,VGND,li1,15.4100,84.3200,0.000000
FILLER_30_15,VGND,li1,12.4200,84.3200,0.000000
FILLER_30_3,VGND,li1,6.9000,84.3200,0.000000
FILLER_29_329,VGND,li1,155.4800,84.3200,0.000000
FILLER_29_317,VGND,li1,151.3400,84.3200,0.000000
FILLER_29_305,VGND,li1,145.8200,84.3200,0.000000
FILLER_29_293,VGND,li1,140.3000,84.3200,0.000000
FILLER_29_281,VGND,li1,134.7800,84.3200,0.000000
FILLER_29_279,VGND,li1,131.3300,84.3200,0.000000
FILLER_29_273,VGND,li1,129.7200,84.3200,0.000000
FILLER_29_261,VGND,li1,125.5800,84.3200,0.000000
FILLER_29_249,VGND,li1,120.0600,84.3200,0.000000
FILLER_29_237,VGND,li1,114.5400,84.3200,0.000000
FILLER_29_225,VGND,li1,109.0200,84.3200,0.000000
FILLER_29_223,VGND,li1,105.5700,84.3200,0.000000
FILLER_29_217,VGND,li1,103.9600,84.3200,0.000000
FILLER_29_205,VGND,li1,99.8200,84.3200,0.000000
FILLER_29_193,VGND,li1,94.3000,84.3200,0.000000
FILLER_29_181,VGND,li1,88.7800,84.3200,0.000000
FILLER_29_169,VGND,li1,83.2600,84.3200,0.000000
FILLER_29_167,VGND,li1,79.8100,84.3200,0.000000
